Date,industry_hits_newhigh,former_newhigh,change,ATR60
2013-02-19,0,5.0,-1.8033,1.7402172539143497
2013-02-21,0,4.0,-2.7899,1.7569576087192518
2013-03-04,0,4.0,-4.0475,1.8219475501429234
2013-09-26,0,3.0,-1.8454,1.8196390955985444
2013-10-16,0,5.0,-2.3629,1.648313328580371
2013-12-02,0,4.0,-2.9852,1.51992534680205
2014-08-07,2,8.0,-1.1617,1.112804042797424
2014-09-16,0,23.0,-2.6657,1.1076421385445465
2014-09-22,1,5.0,-1.4791,1.156686827365665
2014-11-11,2,11.0,-1.8825,1.264978711890184
2014-12-09,0,13.0,-4.3843,1.5487774552029685
2014-12-23,0,3.0,-1.9544,1.771705144274287
2015-01-19,0,3.0,-5.6913,1.985164451411307
2015-04-15,2,16.0,-2.5528,1.887743349019447
2015-04-28,2,24.0,-2.1118,1.9126746694296994
2015-05-05,0,8.0,-3.5119,1.944680460407266
2015-05-28,0,25.0,-6.1431,2.2599257640627
2015-06-16,0,3.0,-3.5791,2.740066529237208
2017-04-14,0,3.0,-1.1598,0.8852129546078434
2020-02-26,0,7.0,-1.8755,1.5418980027984308
2020-07-15,2,6.0,-1.8806,1.4786754815352088
2020-07-24,0,5.0,-4.5931,1.676850259629066
2021-01-26,0,4.0,-1.8769,1.3961898807589799
2023-05-09,0,3.0,-1.1218,1.0592854271863856
