Date,North,Value,Change
2017-05-16,30.004,26.225893275823108,1.5045
2018-05-31,57.4777,56.53179561399459,1.7783
2018-11-02,173.8467,61.68875520923453,3.2755
2018-12-03,121.4136,69.03244496629135,2.9708
2019-02-13,86.0133,80.05622564267176,1.8687
2019-03-29,110.9315,87.45853438304682,3.3998
2019-08-19,78.4761,72.24569767340618,2.6168
2019-08-27,112.7098,70.92240383839699,1.5563
2020-01-02,101.4705,93.05889255269267,1.591
2020-04-07,126.7376,118.39826358958831,2.7686
2020-04-14,142.2898,121.40076716161623,2.0346
2020-07-02,171.1509,122.81305609200865,1.6835
2020-07-03,131.9388,127.91367583227184,1.5667
2020-07-06,136.5222,129.51335424463898,4.811
2020-10-12,135.0999,122.83227724177408,3.0549
2020-11-09,196.9918,118.90589014210914,2.0673
2020-12-01,162.9281,127.04737492299736,1.8362
2021-04-19,163.1568,122.89599073847506,2.0865
2021-05-25,217.2333,117.9566510513183,2.228
2022-03-30,127.2561,125.21514189445,2.4071
2022-05-20,142.3606,125.70030151787623,1.6473
2022-05-31,138.6548,128.12607760462822,1.3926
2022-08-11,132.9533,121.54441269344781,1.6838
2022-11-11,146.6607,124.20529580506161,1.6088
2023-01-05,127.5333,110.31490205353789,1.3702
