index,ATR,Date,modified_chg,chg,period_flunc
37,0.01435388,2012/9/7,4.0198,4.0198,0.07788818
51,0.015499709,2012/9/27,2.7011,2.7011,0.074896473
95,0.015876879,2012/12/5,3.6312,3.6312,0.114427612
162,0.018941467,2013/3/20,3.0161,3.0161,0.057235603
182,0.017754679,2013/4/19,2.4496,2.4496,0.066250141
234,0.019159877,2013/7/10,2.8377,2.8377,0.168634291
307,0.016377153,2013/10/30,1.5408,1.5408,0.062592358
349,0.015790602,2013/12/27,1.6903,1.6903,0.063056086
366,0.015369171,2014/1/22,2.4598,2.4598,0.053291871
399,0.015994957,2014/3/17,1.5849,1.5849,0.082767047
436,0.015416444,2014/5/12,2.2253,2.2253,0.072913421
679,0.020099829,2015/5/8,3.07113529,3.0788,0.062607312
707,0.027913063,2015/6/17,1.512823346,1.8121,0.05441215
711,0.030071174,2015/6/24,1.666427869,2.086,0.096756904
715,0.033338831,2015/6/30,4.102827079,5.471,0.160041024
722,0.040080013,2015/7/9,3.311117796,4.9733,0.231286168
736,0.046268977,2015/7/29,2.409513568,3.9919,0.108052995
740,0.04698127,2015/8/4,2.6892891,4.5033,0.057245484
757,0.050765053,2015/8/27,2.556233524,4.5223,0.273205039
763,0.052447757,2015/9/8,1.924365985,3.4854,0.072112136
769,0.053435188,2015/9/16,3.141763603,5.7679,0.097035402
827,0.027518359,2015/12/14,1.903685272,2.2615,0.06397718
843,0.024264089,2016/1/6,2.087109505,2.3096,0.114285913
849,0.027237048,2016/1/14,2.509724993,2.9638,0.148116502
860,0.02936351,2016/1/29,2.863005491,3.5332,0.1340135
877,0.031223642,2016/3/1,1.610428259,2.0623,0.110722123
920,0.024206175,2016/5/3,2.233262647,2.4681,0.054258013
940,0.020072329,2016/5/31,3.75091746,3.7577,0.078986029
992,0.01460548,2016/8/15,2.5493,2.5493,0.050651113
1144,0.008547771,2017/4/5,1.908477275,1.7699,0.090403014
1172,0.009499894,2017/5/16,1.543085294,1.5045,0.089762231
1358,0.013053105,2018/2/12,1.852,1.852,0.136054053
1384,0.01395977,2018/3/27,1.6324,1.6324,0.064696766
1427,0.013077083,2018/5/31,1.7783,1.7783,0.057703861
1447,0.014340178,2018/6/29,2.7683,2.7683,0.120025325
1474,0.01720218,2018/8/7,2.7422,2.7422,0.087884412
1504,0.017946335,2018/9/18,1.8657,1.8657,0.064381373
1521,0.018747979,2018/10/19,2.6492,2.6492,0.135097139
1552,0.020773018,2018/12/3,2.914476413,2.9708,0.057170819
1574,0.020781897,2019/1/4,2.407833081,2.4549,0.092041528
1655,0.02252539,2019/5/10,3.446976065,3.6646,0.142942139
1720,0.015880912,2019/8/12,1.7803,1.7803,0.090706572
1803,0.010924359,2019/12/13,1.632,1.632,0.056446251
1833,0.012949842,2020/2/4,1.7316,1.7316,0.120342506
1852,0.016410793,2020/3/2,3.6183,3.6183,0.060851316
1868,0.022619289,2020/3/24,2.166249164,2.3081,0.128298674
1946,0.016078175,2020/7/20,3.0723,3.0723,0.075867102
1990,0.020673026,2020/9/18,1.845744138,1.8768,0.066758436
2094,0.016233521,2021/3/1,1.8885,1.8885,0.060184829
2102,0.018239412,2021/3/11,2.4505,2.4505,0.076795527
2197,0.013507067,2021/7/29,2.5,2.5,0.070634548
2284,0.011800269,2021/12/8,1.5463,1.5463,0.057222289
2344,0.014448204,2022/3/10,1.8035,1.8035,0.151452522
2348,0.015956858,2022/3/16,3.8512,3.8512,0.075086079
2376,0.02086861,2022/4/27,3.434224919,3.5088,0.130088745
2480,0.014188209,2022/9/27,1.7692,1.7692,0.109600421
2486,0.014256749,2022/10/12,2.1207,2.1207,0.052401318
2500,0.016036966,2022/11/1,2.9842,2.9842,0.061595117
