Date,Change,1_day_before,2_day_before,3_day_before,4_day_before,5_day_before
2014-02-07,1.1851,-0.7967,0.724,-0.0394,-0.7727,0.9899
2014-05-28,1.1342,-0.3784,0.8028,0.9594,-0.0781,0.9018
2014-11-21,1.3922,-0.0828,0.2778,-0.2505,0.4019,-0.1313
2016-05-31,3.7577,-0.2148,-0.0712,0.3398,-0.2581,-0.9159
2016-11-10,1.2563,-0.6233,0.5208,0.0821,-0.2965,0.7454
2017-06-26,1.2779,0.4887,-0.8322,0.5888,-0.026,0.7974
2018-03-06,1.1555,0.2095,-0.6421,0.9196,-0.2908,-0.7165
2019-10-28,1.3245,0.6995,-0.0788,-0.681,0.75,-0.0294
2019-11-19,1.3469,0.7263,-0.9018,0.3985,-0.1479,0.1048
2019-12-13,1.632,-0.2294,-0.1299,0.317,0.0454,0.6598
2020-05-19,1.0459,-0.1021,0.0537,-0.9871,0.3917,0.1116
2020-12-30,1.2799,-0.5358,-0.0348,0.9334,-0.8337,0.8388
2021-06-25,1.1544,-0.2503,0.6092,0.6089,0.3739,0.4619
2022-05-20,1.6473,0.4854,-0.094,0.8076,-0.367,0.7371
2023-01-16,1.2963,0.9145,0.1015,-0.466,0.075,0.6795
2023-02-01,1.2349,-0.3977,0.7073,0.7399,0.6645,0.0776
2023-03-01,1.0689,0.7618,-0.5679,-0.6561,-0.1954,-0.4232
